SRC_ID,DST_ID,SRC_NAME,DST_NAME
g325580-d2419624,23215ag2130014531,針綱神社,針綱神社
g1022819-d13019070,28204cb3530126127,鳴尾浜臨海公園海づり広場,鳴尾浜臨海公園海づり広場
g1023398-d7203517,26210ag2130015096,飛行神社,飛行神社
g298112-d10152521,guide000000189220,清水緑地,清水緑地
g424929-d1761188,47381ab2040122945,ピナイサーラの滝,ピナイサーラの滝
g1021250-d4232057,guide000000112012,上総国分尼寺跡展示館,史跡上総国分尼寺跡展示館
g298174-d1225078,14201ah3330042217,三笠公園,三笠公園
g1121004-d1383979,07442ad3350155260,白鳳山公園,白鳳山公園
g298560-d11845269,guide000000178549,かっぱ家族の願掛け手湯,かっぱ家族の願掛け手湯
g1121280-d8466880,26344ag2132014161,御栗栖神社,御栗栖神社
g1021282-d10607702,14209ca3440084405,相模原ゴルフクラブ,相模原ゴルフクラブ
g1019694-d2405251,21204cc3302008142,市之倉さかづき美術館,市之倉さかづき美術館
g1060920-d10339109,13224ca3372076381,アクアブルー多摩,アクアブルー多摩
g298182-d1311891,09206ab2020129687,戦場ヶ原,戦場ヶ原
g1120589-d13011191,20404cc3290162759,阿南町化石館,阿南町化石館
g298196-d1369859,24384ah3330042273,安濃中央総合公園,安濃中央総合公園
g1023521-d8075664,27216ah3330042285,烏帽子形公園,烏帽子形公園
g1023433-d9742852,44407ah3330122406,空の公園,空の公園
g298123-d1425244,22208ca3440056460,川奈ホテルゴルフコース,川奈ホテルゴルフコース
g1023396-d8516904,26208ah3330042507,物集女車塚古墳緑地公園,物集女車塚古墳緑地公園
g1022431-d11716290,guide000000191870,道の駅 よがんす白竜,道の駅 よがんす白竜
g670169-d1818522,43422cc3290030720,阿蘇火山博物館,阿蘇火山博物館
g1121404-d7834820,35341ae2180021882,四階楼,四階楼
g1021257-d8028233,guide000000176390,清和ゆめの丘牧場,清和ゆめの丘牧場
g298177-d9989984,guide000000163533,陶舗やまわ,陶舗やまわ
g1022854-d2081893,42375cc3362014555,湯楽里,湯楽里
g1066452-d12242070,13114ag2132096808,高徳寺,高徳寺
g1019692-d7675205,21422cc3290030344,本巣民俗資料館,本巣民俗資料館
g298142-d8588815,35403ah3332006087,山口きらら博記念公園,山口きらら博記念公園
g651657-d8600067,24302cc3290031904,輪中の郷,輪中の郷
g1023570-d10712321,guide000000182642,SPOLAN,SPOLAN
g1060918-d8285342,13222ag2130011928,大圓寺,大圓寺
g1023474-d7086246,guide000000191787,極楽湯 吹田店,極楽湯 吹田店
g1121287-d8134662,26461ca3430124888,加悦双峰公園,加悦双峰公園
g1019640-d9764634,23232ae3292042405,木曽川文庫,木曽川文庫
g1022834-d13015789,28604ca3470058256,ハイパーボウル東鉢,ハイパーボウル東鉢
g321550-d10447497,guide000000187698,布良崎神社,布良崎神社
g1121034-d3677347,08364ag2132071886,永源寺,永源寺
g1121207-d8150685,guide000000150557,熊野神社,熊野神社
g775269-d6978521,20583cc3290165276,一茶記念館,一茶記念館
g1021325-d3366384,20220ca3372029511,長峰山,長峰山
g298565-d13012693,20201af2170158988,文武学校,文武学校
g298213-d7086162,guide000000184084,観光農園 吉次園,観光農園　吉次園
g1022829-d7086129,28217ee4570112148,妙見の森ケーブル,妙見の森ケーブル
g311426-d8148875,16422ae2180021308,佐伯家住宅,佐伯家住宅
g1121208-d6418730,22305ad3350046328,雲見烏帽子山,雲見烏帽子山
g298106-d320128,23106af2120008906,名古屋城,名古屋城
g1121287-d9811330,26465aa1032045630,与謝野町観光協会,与謝野町観光協会
g1121607-d8818011,46531cb3490059671,与名間海浜公園,与名間海浜公園
g1120814-d7792873,guide000000153164,読谷山焼北窯売店,読谷山焼北窯売店
g298566-d10613681,guide000000191568,てんしば,てんしば
g1022937-d7808314,guide000000183724,観光ネットワーク奄美,観光ネットワーク奄美
g1121174-d1423764,18441ab2050006583,常神岬,常神岬
g298133-d7788297,guide000000179744,アリオ倉敷,アリオ倉敷
g1023459-d1384422,33322ag2130120382,千光寺,千光寺
g1120579-d4064157,20362aa1030162139,道の駅 信州蔦木宿,道の駅 信州蔦木宿
g1121220-d10161287,22428aj2200025444,両国吊橋,両国吊橋
g298202-d10661040,25201af2170019078,崇福寺跡,崇福寺跡
g298241-d4482256,02201cc3290031780,青森県立郷土館,青森県立郷土館
g1165976-d1425519,19426cc3360049128,河口湖ハーブ館,河口湖ハーブ館
g1122381-d1425527,19406cb3520147726,まきば公園,まきば公園
g1021200-d7987776,10211cc3312011089,秋間梅林,秋間梅林
g1121347-d1385202,30383ah3330041632,白崎海洋公園,白崎海洋公園
g1121369-d1373366,31386ab2010002428,豪円山,豪円山
g1019693-d8874531,21205ag2130010196,春日神社,春日神社
g298222-d7007073,47205ae3292021148,宜野湾市立博物館,宜野湾市立博物館
g1120968-d8385614,06361cb3512068938,大美輪の大杉,大美輪の大杉
g1121310-d1384662,28584ad2250131936,荒湯,荒湯
g1021325-d12992432,20462ag2130010077,有明山神社,有明山神社
g298198-d7225356,guide000000191699,行基菩薩の噴水,行基菩薩の噴水
g1021146-d1314356,12203ag2130014444,法華経寺,法華経寺
g298249-d3835468,guide000000188099,八木山ベニーランド,八木山ベニーランド
g298210-d1758071,46322cc3310040267,フラワーパークかごしま,フラワーパークかごしま
g1022394-d13012830,07207ae3302074066,CCGA現代グラフィックアートセンター,CCGA現代グラフィックアートセンター
g1023440-d4344763,44521ab2040131840,岳切渓谷,岳切渓谷
g303148-d7686896,22202ag2130010215,五社神社・諏訪神社,五社神社・諏訪神社
g1066443-d6374910,guide000000180036,神保町花月,神保町花月
g1023690-d11716446,35204aa1032020652,道の駅 うり坊の郷katamata,道の駅 うり坊の郷katamata
